key,en,nl
HINTS_1.1,"G=6,674e-11 \n m earth = 5,972e34 kg","G=6,674e-11 \n m aarde = 5,972e34 kg"
HINTS_1.2,"M = 1,9884e30 kg","M = 1,9884e30 kg"
HINTS_1.3,Answer is sun,Antwoord is zon
HINTS_2.1,look carefully at the color of the pH stripes!,goed naar de kleur van streepjes kijken!
HINTS_2.2,"You need to place a strip with an indicator in a drink and then observe the color that appears. Compare that color to the chart. If the color is close to a pH of 6, it's a suitable drink.","Jullie moeten een strookje met indicator in een drank plaatsen en vervolgens kijken welke kleur verschijnt. Vergelijk die kleur met het schema. Als de kleur dicht bij de pH-waarde van 6 ligt, dan is het een geschikte drank."
HINTS_2.3,Answer is bio-synergy (purple),Antwoord is bio-synergy(paars)
HINTS_3.1,means neuralize. - means not and +- means partially,=betekent neuraliseren. - betekent niet en +- betekent gedeeltelijk
HINTS_3.2,which antivirus only neutralizes 1 virus?,welke antivirus neutraliseert maar 1 virus?
HINTS_3.3,Answer is Helix A (brown),Antwoord is Helix A (bruin)
HINTS_4.1,Combinations with Pyreon are unreliable.,Combinaties met Pyreon zijn onbetrouwbaar.
HINTS_4.2,The correct combination is calmisol and Inertase.,De juiste combinatie is calmisol en Inertase.
HINTS_4.3,Is the generator on? Pull the rope. You also need to connect the tube to the cabinet.,Is de generator aan? Trek de touw. Je moet ook de tube verbinden met de kast.
HINTS_5.0,"Remember, the first letter/number is valid. If you have 4, you'll need to split it up.",remember de eerste letter/cijfer is geldig. bij 4 moet je dat opsplitsen.
HINTS_5.1,concentration = c,concentratie = c
HINTS_5.2,hypotenuse = h,hypotenuse = h
HINTS_5.3,"answer is 3 or -2""","antwoord is 3 of -2"""
HINTS_5.4,"Difficult? The animals represent temperature. If you read the assignment carefully, it will become clear why we're talking about temperature here. First, remember that you need to convert the data for hydrogen to another unit.","Moeilijk? e dieren staan namelijk voor temperatuur. Als jullie de opdracht goed lezen, wordt het duidelijk waarom we het hier over temperatuur hebben. Denk er eerst aan dat je de gegevens voor waterstof naar een andere eenheid moet omzetten."
INSTRUCTION_1,This riddle is about a force in space between different celestial bodies. Can you determine which celestial body it is?\n\nFgrav = 3.52 * 10^22 N\nG = constant(look it up yourself)\nMaarde = (look it up yourself)\nr = 1.496 * 10^11\nm = unknown,"Dit raadsel gaat over een kracht in de ruimte tussen verschillende hemellichamen. Kunnen jullie bepalen over welk hemellichaam het gaat?\n\nFgrav = 3,52 * 10^22 N\nG = constante(zelf opzoeken)\nMaarde = (zelf opzoeken)\nr = 1,496 * 10^11\nm = onbekende\n\nHulpmiddelen:\nBinas tabel 31 + 32C + 7A"
INSTRUCTION_2,The professor was likely sedated by those criminal activists with some kind of substance. Can you determine which drink contained the sedative?,De professor werd waarschijnlijk door die criminele activisten verdoofd met een bepaalde stof. Kunnen jullie bepalen in welke drank het slaapmiddel zat?
INSTRUCTION_3.1,"Logbook\n 15.11 \n\nToday I tested my antivirus for four viruses, and it works! I've written a few lines below to help me remember which virus it is.","Logboek\n 15.11 \n\nVandaag heb ik mijn antivirus getest op vier virussen, en het werkt! Ik heb hieronder een paar regels geschreven om me te helpen onthouden welk virus het is."
INSTRUCTION_3.2,RULES\n\n1. A true antivirus is the only agent that completely neutralizes exactly one virus.\n\n2. Antiviruses that do not neutralize any viruses are also eliminated.\n\n3. Partial effects do not count as neutralization.," REGELS\n\n1. Het echte antivirus is het enige middel dat precies één virus volledig neutraliseert.\n\n2. Antivirussen die geen virussen neutraliseren, worden ook geëlimineerd.\n\n3. Gedeeltelijke effecten tellen niet mee als neutralisatie."
INSTRUCTION_5.1,First letter of a word that can describe amount of substance per volume,Eerste letter van een woord dat kan beschrijven hoeveelheid stof per volume 
INSTRUCTION_5.2,"If I am the tallest of my friends and together we form a right triangle, what is my name?","Als ik de langste ben van mijn vrienden en wij samen een rechthoekige driehoek vormen, wat is mijn naam?"
INSTRUCTION_5.3.1,"Note: A vertical asymptote is a peculiar and somewhat tragic phenomenon: a line that always approaches the function, but can never touch it. When finding this line, use denominator equal to zero and the numerator is not 0.","Instructie: Een verticale asymptoot is een bijzonder en een beetje tragisch verschijnsel: een lijn die de functie steeds nadert, maar nooit kan raken. Bij het vinden van deze lijn gebruik de nummer gelijk zijn aan nul en de teller niet."
INSTRUCTION_5.3.2,What is the vertical asymptote of f(x)= (4x²−1)/(x²−x−6)? \n \n PS: I have a small dog at home; a big dog is too dangerous for me.,Wat is de verticale asymptoot van f(x)= (4x²−1)/(x²−x−6)? \n \n PS: Ik heb een klein hondje thuis; een grote hond vind ik te gevaarlijk. 
INSTRUCTION_5.4.1,The dark purple line is a dog. The purple line is a penguin. The green line is a camel. The orange line is a bear. The molar volume of gas Vm = 24.465 L/mol. Use the graph as a guide. Click to enlarge. Enter the digits of your answer separately.,"Donkerpaarse lijn is een hond\nPaarse is een pinguin\nGroene is een cameel\nOranje is een beer\nMolaire gasvolume Vm = 24,465 L/mol\n\nGebruik de grafiek als hulpmiddel. Klik te vergroten. Voer cijfers van antwoord apart in."
INSTRUCTION_5.4.2,"When you mix two substances, it takes time for them to react. How many seconds does the reaction between magnesium and hydrochloric acid take to form 3.3 mg of hydrogen if the reaction takes place at a [b]very high temperature[/b]?","Als je twee stoffen met elkaar mengt, duurt het even voordat ze met elkaar reageren. Hoeveel seconden duurt de reactie tussen magnesium en zoutzuur om 3.3 mg waterstof te vormen als de reactie onder [b]zeer hoge temperatuur[/b] plaatsvindt?"
ANSWER_1,sun,zon
UI_THANKS,Thanks for playing!,Bedankt voor het spelen!
UI_YOURSCORE,Your scores:,Jouw scores:
UI_SCORE,Time: {time} | Wrong: {wrong} | Hints: {hints},Tijd: {time} | Fouten: {wrong} | Hints: {hints}
UI_TOT_SCORE,Total stats:\n\n Total Time:%d \nTotal Wrong attempts %d \nTotal Hints: %d,Totale statistieken:\n\n Totale tijd: %d \nTotaal aantal verkeerde pogingen: %d \nTotaal aantal hints: %d
,,
1_curtains_can't_open,You: [i]pulls curtains[/i] It won't budge.,Jij: [i]trekt gordijnen[/i] Het beweegt niet.
1_curtains_stuck,The crank is stuck. These curtains won't open further.,De hendel zit vast. Deze gordijnen gaan niet verder open.
dialogue/1_finished.dialogue_1,The room is lit up!,De kamer is verlicht!
dialogue/1_finished.dialogue_2,Now we can go to the next room.,Nu kunnen we naar de volgende kamer.
dialogue/1_intro.dialogue_1,This is where professor Kamilla was last seen.,Dit is de plek waar professor Kamilla voor het laatst is gezien.
dialogue/1_intro.dialogue_2,let's see what we can find here.,Laten we eens kijken wat we hier kunnen vinden.
dialogue/1_intro.dialogue_3,"It's quite dark though, we should light up the room first.","Het is hier best donker, we moeten eerst de kamer verlichten."
dialogue/2_died.dialogue_1,You fainted from smelling the experimental drinks too many times. Restarting room now...,Je viel flauw door te vaak aan de experimentele drankjes te ruiken. De kamer wordt opnieuw gestart...
dialogue/2_finished.dialogue_1,A ha! So she was drinking Bio-Synergy before she disappeared.,Aha! Dus ze dronk Bio-Synergy voordat ze verdween.
dialogue/2_finished.dialogue_2,Let me see... There's some white powder left on the walls after the liquid has dried out. It seems to be some remainent of a kind of [wave]sleeping powder[/wave]...,Eens kijken... Er zit wat wit poeder op de muren nadat de vloeistof is opgedroogd. Het lijkt restmateriaal van een soort [wave]slaappoeder[/wave]...
dialogue/2_finished.dialogue_3,But kamilla never used sleep medication... This must mean that Kamilla was kidnapped! Now we need to figure out why she was kidnapped. What special thing did she develop? Let's look at the instrument Kamilla uses so often in the lab.,Maar Kamilla gebruikte nooit slaapmiddelen... Dit moet betekenen dat ze is ontvoerd! Nu moeten we uitzoeken waarom ze is ontvoerd. Wat ontwikkelde ze dat zo bijzonder was? Laten we kijken naar het instrument dat Kamilla zo vaak in het lab gebruikte.
dialogue/2_intro.dialogue_1,This is Kamilla's workspace.,Dit is Kamilla’s werkplek.
dialogue/2_intro.dialogue_2,I know that Kamilla had a sensitive tooth and couldn't drink anything with a [wave]pH below 7[/wave]. Maybe figuring out what she drank before she disappeared can help us understand where she went?,"Ik weet dat Kamilla een gevoelige tand had en niets kon drinken met een [wave]pH lager dan 7[/wave]. Misschien helpt het om uit te zoeken wat ze dronk voordat ze verdween, zodat we begrijpen waar ze heen ging."
dialogue/2_wrong_drink.dialogue_1,"[i]smells drink[/i] Uh oh, something in the drink is making me dizzy. This doesn't seem to be the right drink... (hint: choosing the wrong drink too many times will have consequences)","[i]ruikt aan drankje[/i] Oei, iets in het drankje maakt me duizelig. Dit lijkt niet het juiste drankje te zijn... (tip: te vaak het verkeerde drankje kiezen heeft gevolgen)"
dialogue/3_correct_virus.dialogue_1,So Kamilla was working on the antiVirus HelixA. We're closer to the truth...,Dus Kamilla werkte aan het antivirus HelixA. We komen dichter bij de waarheid...
dialogue/3_intro.dialogue_1,"Kamilla was working on antivirus for some kind of virus before she got kidnapped. Although I'm not sure which antivirus she created, I have a feeling it must have something to do with her kidnapping...","Kamilla werkte aan een antivirus voor een of ander virus voordat ze werd ontvoerd. Hoewel ik niet zeker weet welk antivirus ze had gemaakt, heb ik het gevoel dat het iets met haar ontvoering te maken heeft..."
dialogue/3_microscope.dialogue_1,I see pandora AV in the microscope.,Ik zie Pandora AV in de microscoop.
dialogue/3_virus_pressed.dialogue_1,[i]*You added {{Events.virus}} to the antivirus.*[i],[i]*Je hebt {{Events.virus}} aan het antivirus toegevoegd.*[i]
dialogue/3_virus_pressed.dialogue_2,You observed that nexa_3 was not neutralized.,Je zag dat nexa_3 niet geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_3,You observed zytphera was partially neutralized.,Je zag dat zytphera gedeeltelijk geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_4,You observed that pandora_x was neutralized.,Je zag dat pandora_x geneutraliseerd werd.
dialogue/3_virus_pressed.dialogue_5,You observed that Helixona was not neutralized.,Je zag dat Helixona niet geneutraliseerd werd.
dialogue/3_wrong_virus.dialogue_1,This doesn't seem to be the correct virus.,Dit lijkt niet het juiste virus te zijn.
dialogue/4_computer.dialogue_1,There's no electricity to power the computer.,Er is geen stroom om de computer van energie te voorzien.
dialogue/4_fuel_combined.dialogue_1,*pulls cord*,*trekt aan koord*
dialogue/4_fuel_combined.dialogue_2,These 2 fuels aren't providing enough energy,Deze twee brandstoffen leveren niet genoeg energie.
dialogue/4_fuel_combined.dialogue_3,These 2 fuels aren't triggering any reactions...,Deze twee brandstoffen veroorzaken geen enkele reactie...
dialogue/4_fuel_combined.dialogue_4,this is the one!,dit is ‘m!
dialogue/5_intro.dialogue_1,We're so close... I have a feeling that once we crack her computer we will know the answer once and for all!,"We zijn zo dichtbij... Ik heb het gevoel dat we, zodra we haar computer kraken, het antwoord eindelijk zullen weten!"